GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
694517412,20171002,201710,2017,2017.7452,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,4,1,4,-4.14201183431953,4,"Philippine, Benguet, Philippines",RP,RP10,16.45,120.55,-2445611,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://media.interaksyon.com/ph-expresses-condolences-to-us-over-vegas-mass-shooting-checking-if-filipinos-among-victims/
694529017,20171002,201710,2017,2017.7452,USACOP,UNITED STATES,USA,,,,,COP,,,,,,,,,,,,,0,010,010,01,1,0.0,4,2,4,-4.67532467532467,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://13wham.com/news/local/mayor-warren-offers-condolences-to-las-vegas-shooting-victims
694416667,20171002,201710,2017,2017.7452,USA,LAS VEGAS,USA,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,23,4,23,-8.15430380829608,3,"Clark County, Nevada, United States",US,USNV,36.0003,-114.876,863600,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.couriermail.com.au/news/las-vegas-police-hunt-for-missing-woman-following-mass-shooting/news-story/6a6a3188d1cd03618f1be1ecc60e1fdf?nk=a396e07d52673c56df0b414f0286360a-1506943070
694430892,20171002,201710,2017,2017.7452,UAF,GUNMAN,,,,,,UAF,,,,,,,,,,,,,1,190,190,19,4,-10.0,59,10,59,-7.58923613024298,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://pittsburgh.cbslocal.com/2017/10/02/donald-trump-condolences-las-vegas/
694433297,20171002,201710,2017,2017.7452,LEG,LEGISLATURE,,,,,,LEG,,,,,,,,,,,,,1,010,010,01,1,0.0,136,4,136,-6.11967970561217,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://www.watchdog.org/issues/budgettaxes/sentencing-reform-seen-as-possible-solution-to-rising-prison-guard/article_a4614480-a461-11e7-9349-af5750746d2b.html
694456642,20171002,201710,2017,2017.7452,BUS,MANUFACTURER,,,,,,BUS,,,,,,,,,,,,,1,193,193,19,4,-10.0,30,3,30,-4.25334516001324,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.businessinsider.com/las-vegas-shooting-gun-stocks-reaction-2017-10
694520166,20171002,201710,2017,2017.7452,USA,MARYLAND,USA,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,7,1,7,-7.61904761904762,2,"Maryland, United States",US,USMD,39.0724,-76.7902,MD,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://patch.com/maryland/annapolis/hogan-after-las-vegas-shooting-maryland-stands-las-vegas
694557671,20171002,201710,2017,2017.7452,USAGOVPTY,HILLARY CLINTON,USA,,,,,GOV,,,,,,,,,,,,,1,111,111,11,3,-2.0,20,2,20,-6.90598574034157,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://www.yahoo.com/news/progressives-aim-nra-las-vegas-191141484.html
694575961,20171002,201710,2017,2017.7452,CAN,CANADA,CAN,,,,,,,,,,,,,,,,,,0,043,043,04,1,2.8,6,1,6,-3.94431554524361,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://barrie.ctvnews.ca/i-thought-it-was-firecrackers-local-woman-describes-scene-during-vegas-concert-shooting-1.3615858
694430972,20171002,201710,2017,2017.7452,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,017,017,01,1,0.0,399,78,399,-7.6838019940197,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.cnn.com/2017/10/02/politics/nevada-dean-heller-brian-sandoval/
694458480,20171002,201710,2017,2017.7452,USA,THE US,USA,,,,,,,,,,,,,,,,,,0,012,012,01,1,-0.4,6,1,6,-7.08661417322835,3,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://nypost.com/2017/10/02/las-vegas-shooter-killed-himself-after-massacre/
694458800,20171002,201710,2017,2017.7452,USAGOV,LAS VEGAS,USA,,,,,GOV,,,,,,,,,,,,,1,051,051,05,1,3.4,7,2,7,-5.21198718926339,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://abc11.com/news/trump-sends-condolences-and-sympathies-to-las-vegas-victims/2478527/
694464804,20171002,201710,2017,2017.7452,HLH,HOSPITAL,,,,,,HLH,,,,,,,,,,,,,1,193,193,19,4,-10.0,23,3,23,-5.857453461576,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.foxbusiness.com/markets/2017/10/02/las-vegas-shooting-casino-shares-fall-after-deadly-incident.html
